[2026-05-26 08:03:38,930] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:38] "[31m[1mPOST /api/zapatos/ HTTP/1.1[0m" 400 -
[2026-05-26 08:03:47,527] INFO in controlador_usuarios: Acceso usuario root correcto
[2026-05-26 08:03:47,528] INFO in app: path: /api/usuarios/login | method: POST | status: 200 OK | size: 140 >>> 172.19.0.5
[2026-05-26 08:03:47,528] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:47] "[37mPOST /api/usuarios/login HTTP/1.1[0m" 200 -
[2026-05-26 08:03:47,639] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:03:47,639] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:47] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:03:59,085] INFO in app: path: /api/zapatos/ | method: POST | status: 400 BAD REQUEST | size: 153 >>> 172.19.0.5
[2026-05-26 08:03:59,085] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:03:59] "[31m[1mPOST /api/zapatos/ HTTP/1.1[0m" 400 -
[2026-05-26 08:04:05,188] INFO in app: path: /api/zapatos/ | method: GET | status: 200 OK | size: 180 >>> 172.19.0.5
[2026-05-26 08:04:05,188] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:04:05] "[37mGET /api/zapatos/ HTTP/1.1[0m" 200 -
[2026-05-26 08:04:08,976] INFO in app: path: /api/zapatos/1 | method: GET | status: 200 OK | size: 178 >>> 172.19.0.5
[2026-05-26 08:04:08,976] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:04:08] "[37mGET /api/zapatos/1 HTTP/1.1[0m" 200 -
[2026-05-26 08:04:09,644] INFO in app: path: /api/zapatos/ | method: PUT | status: 400 BAD REQUEST | size: 153 >>> 172.19.0.5
[2026-05-26 08:04:09,645] INFO in _internal: 172.19.0.5 - - [26/May/2026 08:04:09] "[31m[1mPUT /api/zapatos/ HTTP/1.1[0m" 400 -
